"INDUSTRY_9S","Education","Sex","Age","Item","UNIT","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year",
"Education","Jonior college","Male","35 ~ 39","Employment","Persons","1539","2074","1703","1394","1274","1589","1343","1310","1385","1483","1034",
"Education","Jonior college","Male","40 ~ 44","Hours worked","Hours","186.6","184.4","159.7","179","155.3","164.2","186.8","176.9","169.4","148.1","153.7",
"Education","Jonior college","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2566","2831","2809","3240","2825","3332","3207","3118","3584","3221","3363",
"Education","Jonior college","Male","40 ~ 44","Employment","Persons","1228","1182","1295","1339","1561","1533","1582","1664","1369","1455","999",
"Education","Jonior college","Male","45 ~ 49","Hours worked","Hours","171.5","182.3","191.8","175.3","166.7","159.5","183.1","182.7","174.4","160.1","139.6",
"Education","Jonior college","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","3101","3308","3483","2925","3825","3405","3640","3405","3761","3285","3510",
"Education","Jonior college","Male","45 ~ 49","Employment","Persons","1273","862","733","1160","911","1179","1043","1182","1122","1681","1722",
"Education","Jonior college","Male","50 ~ 54","Hours worked","Hours","190.1","178.9","174.8","177","170.2","167.3","172.4","182.4","161.7","163.4","160.9",
"Education","Jonior college","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","3361","3785","3660","3948","4036","3886","3773","3609","3702","4036","4784",
"Education","Jonior college","Male","50 ~ 54","Employment","Persons","1164","1179","1058","1134","850","1098","1026","1092","1132","980","746",
"Education","Jonior college","Male","55 ~ 59","Hours worked","Hours","178.1","196.8","168.3","187.6","166.2","163.5","179.6","172.4","172.7","160.7","153.7",
"Education","Jonior college","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","3060","3200","2632","3574","3398","3904","3633","3867","3592","3240","3580",
"Education","Jonior college","Male","55 ~ 59","Employment","Persons","423","598","742","576","923","822","790","912","1066","1377","1111",
"Education","Jonior college","Male","60 years old and over","Hours worked","Hours","145.3","198.2","199.8","193.5","142.3","166.8","187.1","170.6","159.4","141.3","147.9",
"Education","Jonior college","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1725","2012","1881","1448","1374","1920","1844","2175","2117","2039","2450",
"Education","Jonior college","Male","60 years old and over","Employment","Persons","534","436","322","440","535","549","626","1078","642","1441","966",
"Education","Jonior college","Female","19 years old and less","Hours worked","Hours","57","123","-","-","-","-","-","-","-","-","-",
"Education","Jonior college","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","691","694","-","-","-","-","-","-","-","-","-",
"Education","Jonior college","Female","19 years old and less","Employment","Persons","6","11","-","-","-","-","-","-","-","-","-",
"Education","Jonior college","Female","20 ~ 24","Hours worked","Hours","184.7","182.6","178.4","168.2","161.5","164.8","176.2","172.2","170.3","155.7","154.1",
"Education","Jonior college","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1211","1284","1434","1389","1443","1478","1478","1573","1663","1739","1913",
"Education","Jonior college","Female","20 ~ 24","Employment","Persons","10209","9416","10657","9550","9224","11790","11463","12095","10848","9660","9486",
"Education","Jonior college","Female","25 ~ 29","Hours worked","Hours","183.3","183.4","177.8","170.4","163","161.1","174.3","173","170.1","156.3","154.4",
"Education","Jonior college","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1382","1446","1691","1634","1729","1654","1654","1693","1892","1888","2028",
"Education","Jonior college","Female","25 ~ 29","Employment","Persons","12003","10346","10169","8986","7242","7895","7175","7325","7423","7302","7275",
"Education","Jonior college","Female","30 ~ 34","Hours worked","Hours","180.9","180.5","175.9","160.6","157","158.8","169.9","171.5","166.7","151","145.8",
"Education","Jonior college","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1479","1599","1670","1723","1924","1945","1947","2029","1993","2023","2131",
"Education","Jonior college","Female","30 ~ 34","Employment","Persons","5017","5333","5059","5356","4334","5586","5242","4290","3185","2654","2786",
"Education","Jonior college","Female","35 ~ 39","Hours worked","Hours","184.6","178.6","174.7","166","151.3","151.5","169.6","165.6","162.6","152.3","149.6",
"Education","Jonior college","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1531","1625","2044","1930","1995","2125","2135","2227","2296","2380","2351",
"Education","Jonior college","Female","35 ~ 39","Employment","Persons","3617","4817","3885","2721","2770","3399","3511","3309","2949","2495","2630",
"Education","Jonior college","Female","40 ~ 44","Hours worked","Hours","184.5","169.5","169.2","165.3","154.7","150.8","166.9","151.4","159.2","145.4","143.1",
"Education","Jonior college","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1757","1395","2201","2077","1970","2018","1940","2035","2081","2308","2538",
"Education","Jonior college","Female","40 ~ 44","Employment","Persons","1922","3231","2312","2306","2480","2911","3034","3970","2959","2667","2938",
"Education","Jonior college","Female","45 ~ 49","Hours worked","Hours","178.5","179","155","153.5","143.4","152.9","163.8","162.5","161.2","147.9","141",
"Education","Jonior college","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1754","2008","1644","1803","2068","2422","2021","2288","2207","2233","2212",
"Education","Jonior college","Female","45 ~ 49","Employment","Persons","911","1494","1447","1672","1497","1594","2540","2037","2472","1939","2827",
"Education","Jonior college","Female","50 ~ 54","Hours worked","Hours","173.2","165.3","152.3","151.1","118.8","141.7","165","144.8","151.2","145.1","143.3",
"Education","Jonior college","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1597","1833","1547","1910","1770","2155","2073","1820","2211","2077","2336",
"Education","Jonior college","Female","50 ~ 54","Employment","Persons","567","968","835","934","1038","1014","981","1369","1347","1314","1508",
"Education","Jonior college","Female","55 ~ 59","Hours worked","Hours","173.2","151.4","115.3","178.1","178.9","150","156.1","174.6","138.3","134.1","138.4",
"Education","Jonior college","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","2411","1506","964","1778","1937","2809","1577","2502","1799","2202","2199",
"Education","Jonior college","Female","55 ~ 59","Employment","Persons","228","623","482","354","265","264","599","461","1084","879","945",
"Education","Jonior college","Female","60 years old and over","Hours worked","Hours","187.1","148.8","175.3","155.6","145.6","96","139.5","161.7","150.8","143.2","122.3",
"Education","Jonior college","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","2648","2001","2410","2872","2489","2057","2210","1994","1658","1712","1794",
"Education","Jonior college","Female","60 years old and over","Employment","Persons","138","198","257","184","218","148","445","318","548","561","428",
"Education","College and university and over","Male","19 years old and less","Hours worked","Hours","-","-","-","-","-","-","-","-","-","-","-",
"Education","College and university and over","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","-","-","-","-",
"Education","College and university and over","Male","19 years old and less","Employment","Persons","-","-","-","-","-","-","-","-","-","-","-",
"Education","College and university and over","Male","20 ~ 24","Hours worked","Hours","161.7","163.9","164","147.4","147.1","151.5","164.6","161.7","161.8","138.8","149.3",
"Education","College and university and over","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","2302","1953","1870","1850","1710","1631","1699","1780","1842","1738","1969",
"Education","College and university and over","Male","20 ~ 24","Employment","Persons","1488","1688","1861","1470","1599","2000","1711","1632","1281","1173","943",
"Education","College and university and over","Male","25 ~ 29","Hours worked","Hours","172.3","171.6","170.3","158.9","154.9","155.6","166.5","164.9","166.8","153.8","150.5",
"Education","College and university and over","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1977","1943","2101","1923","1957","1995","1988","2002","2224","2320","2479",
"Education","College and university and over","Male","25 ~ 29","Employment","Persons","11304","10954","10531","11829","10843","11919","11319","12522","11432","12339","11243",
"Education","College and university and over","Male","30 ~ 34","Hours worked","Hours","176.2","174.8","173.2","162.3","154","155.4","167.7","167.7","166.6","156.3","153",
"Education","College and university and over","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2588","2618","2679","2635","2595","2774","2885","2864","2919","3032","3050",
"Education","College and university and over","Male","30 ~ 34","Employment","Persons","15324","15684","17404","18058","18245","16482","15382","16080","16516","15980","14772",
"Education","College and university and over","Male","35 ~ 39","Hours worked","Hours","173.1","173.6","170.1","161.8","153.4","153.4","165","169.6","165.9","153.2","147.9",
"Education","College and university and over","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","3547","3500","3553","3383","3520","3635","3576","3759","3731","3736","3761",
"Education","College and university and over","Male","35 ~ 39","Employment","Persons","20068","20192","19270","19856","18700","19429","19535","19746","20393","19422","20419",
"Education","College and university and over","Male","40 ~ 44","Hours worked","Hours","174.9","176.3","167.4","163","153","150.1","163.2","162","163.4","151.8","145.3",
"Education","College and university and over","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","4301","4365","4266","4148","4282","4580","4380","4409","4534","4585","4577",
"Education","College and university and over","Male","40 ~ 44","Employment","Persons","20935","21540","23084","23552","22280","24567","22460","23433","25477","23172","23077",
"Education","College and university and over","Male","45 ~ 49","Hours worked","Hours","180.3","182.2","174.8","165.8","154.7","149.7","164.5","164.9","164","151.3","146.4",
"Education","College and university and over","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","4745","4981","5029","4945","5045","5269","5009","5164","5455","5364","5388",
"Education","College and university and over","Male","45 ~ 49","Employment","Persons","28112","27110","28448","26426","23600","25169","22961","24779","27203","27730","28683",
"Education","College and university and over","Male","50 ~ 54","Hours worked","Hours","178","181","175.5","164.7","157.9","152.4","167.8","166.6","166.6","152.4","147.4",
"Education","College and university and over","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","5500","5632","5534","5568","5618","5755","5845","5849","6189","6243","6194",
"Education","College and university and over","Male","50 ~ 54","Employment","Persons","22275","24493","29131","29873","30868","30254","29216","27625","27457","26243","27528",
"Education","College and university and over","Male","55 ~ 59","Hours worked","Hours","176.6","179.4","173.6","163.5","156","153.2","168.4","166.1","166.2","154.2","147.2",
"Education","College and university and over","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","5764","5916","5780","6022","6037","6347","6287","6222","6537","6627","6784",
"Education","College and university and over","Male","55 ~ 59","Employment","Persons","12485","14391","18664","20307","21995","23417","23717","26079","29197","31982","31299",
"Education","College and university and over","Male","60 years old and over","Hours worked","Hours","169.6","172.1","165.5","158.6","150.8","147.9","160.2","161.9","156.3","142.9","138.2",
"Education","College and university and over","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","5507","5779","5715","5707","6019","5797","6032","5926","6399","6180","6687",
"Education","College and university and over","Male","60 years old and over","Employment","Persons","7348","7717","8248","8867","10264","11228","12170","13975","16406","18623","20457",
"Education","College and university and over","Female","19 years old and less","Hours worked","Hours","176","-","-","-","-","-","-","-","-","-","-",
"Education","College and university and over","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","1309","-","-","-","-","-","-","-","-","-","-",
"Education","College and university and over","Female","19 years old and less","Employment","Persons","12","-","-","-","-","-","-","-","-","-","-",
"Education","College and university and over","Female","20 ~ 24","Hours worked","Hours","174.7","171.2","169.8","158.6","156.2","155.4","168.8","162.1","165.1","150.3","145.4",
"Education","College and university and over","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1392","1448","1671","1584","1573","1575","1533","1603","1703","1811","1937",
"Education","College and university and over","Female","20 ~ 24","Employment","Persons","8910","9829","11466","11357","12254","13395","14450","15158","12825","13526","11479",
"Education","College and university and over","Female","25 ~ 29","Hours worked","Hours","177.7","171","167.4","161.7","154.7","155.9","170.1","167","164.8","152","147.2",
"Education","College and university and over","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1726","1742","1918","1913","1936","1970","1922","1993","2048","2117","2206",
"Education","College and university and over","Female","25 ~ 29","Employment","Persons","26566","27711","30316","33053","28791","29635","28790","29627","29924","31090","29626",
"Education","College and university and over","Female","30 ~ 34","Hours worked","Hours","175.2","170.5","164.5","156.3","152","151.5","160.5","163.9","163.1","150.7","144.8",
"Education","College and university and over","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2111","2159","2300","2285","2410","2398","2319","2429","2549","2562","2601",
"Education","College and university and over","Female","30 ~ 34","Employment","Persons","15702","19289","22991","26634","22752","25114","25754","25832","25702","25989","24687",
"Education","College and university and over","Female","35 ~ 39","Hours worked","Hours","170.7","170.1","163.4","155.6","149.8","149.7","159.9","160","158.6","147.6","132.3",
"Education","College and university and over","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2727","2543","2752","2814","2935","3020","2883","2890","3046","3075","2865",
"Education","College and university and over","Female","35 ~ 39","Employment","Persons","13096","15391","17106","18203","18353","18019","19740","23248","22173","21528","23577",
"Education","College and university and over","Female","40 ~ 44","Hours worked","Hours","170.1","171.1","166.1","156.3","146.2","144.8","151.6","157.7","155","144.4","132.6",
"Education","College and university and over","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","3105","3027","3380","3235","3236","3365","3149","3282","3510","3647","3472",
"Education","College and university and over","Female","40 ~ 44","Employment","Persons","11679","12963","15685","18226","18973","19022","19502","20774","22233","22255","22330",
"Education","College and university and over","Female","45 ~ 49","Hours worked","Hours","174.8","177.1","172.1","161.7","149.8","145","156.6","152.5","159.1","142.1","134.9",
"Education","College and university and over","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","3514","3739","4117","4108","3995","3878","3722","3575","4076","3958","3927",
"Education","College and university and over","Female","45 ~ 49","Employment","Persons","10880","10995","11648","13864","13457","14705","15321","19116","19845","22186","22511",
"Education","College and university and over","Female","50 ~ 54","Hours worked","Hours","171.3","177.8","171","162.4","145.4","146.3","160.5","161.5","163.4","148.2","137.3",
"Education","College and university and over","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","4295","4321","4869","4960","4553","4745","4571","4501","5053","5162","4719",
"Education","College and university and over","Female","50 ~ 54","Employment","Persons","5988","7235","8354","9457","10516","12479","12717","14993","15859","16066","18041",
"Education","College and university and over","Female","55 ~ 59","Hours worked","Hours","173","170.6","169.4","159.9","151.4","150.3","160.1","156.9","162.6","146.5","139.9",
"Education","College and university and over","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","4629","4545","5412","5370","5393","5173","5293","5185","5570","5360","5318",
"Education","College and university and over","Female","55 ~ 59","Employment","Persons","2409","3154","4183","5250","5865","6856","7173","8620","9402","10730","11816",
"Education","College and university and over","Female","60 years old and over","Hours worked","Hours","165","175.8","165.7","159.1","145.6","138.7","162.7","153.5","156.7","142.7","133.7",
"Education","College and university and over","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","4760","5027","5466","5485","5206","5163","4856","5330","5827","5466","5116",
"Education","College and university and over","Female","60 years old and over","Employment","Persons","1614","1542","1335","1813","2265","3065","3544","3384","4123","4929","5421",
"Human health and social work activities","Under middle shcool","Male","19 years old and less","Hours worked","Hours","269.8","160","-","160","-","229","66.5","182","-","99.2","100",
"Human health and social work activities","Under middle shcool","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","1946","728","-","1116","-","1373","430","1529","-","1076","1093",
"Human health and social work activities","Under middle shcool","Male","19 years old and less","Employment","Persons","16","3","-","4","-","5","79","6","-","32","5",
"Human health and social work activities","Under middle shcool","Male","20 ~ 24","Hours worked","Hours","189.1","221.9","180.6","149.9","165.9","-","114.1","-","151.3","125.8","118.6",
"Human health and social work activities","Under middle shcool","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1645","1475","1732","902","1248","-","806","-","1376","925","932",
"Human health and social work activities","Under middle shcool","Male","20 ~ 24","Employment","Persons","123","10","5","14","44","-","23","-","31","60","54",
"Human health and social work activities","Under middle shcool","Male","25 ~ 29","Hours worked","Hours","181.3","196.3","179","168.8","162.2","178.7","158.2","185.2","133.1","122.2","150.7",
"Human health and social work activities","Under middle shcool","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1715","1559","1641","1373","2949","2456","1818","1573","1271","1278","1320",
"Human health and social work activities","Under middle shcool","Male","25 ~ 29","Employment","Persons","109","18","62","51","86","53","40","33","15","140","100",
"Human health and social work activities","Under middle shcool","Male","30 ~ 34","Hours worked","Hours","183.5","213.2","168.7","143.2","170.1","140.5","140.2","154.3","129.2","134.9","122.3",
"Human health and social work activities","Under middle shcool","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2979","2090","650","1686","2972","1075","957","1753","1012","2180","602",
"Human health and social work activities","Under middle shcool","Male","30 ~ 34","Employment","Persons","448","64","362","69","86","155","75","113","83","168","102",
"Human health and social work activities","Under middle shcool","Male","35 ~ 39","Hours worked","Hours","193.6","190.2","176.1","111.4","139.7","148.7","175.1","139.7","164.3","131.9","117.4",
"Human health and social work activities","Under middle shcool","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2630","2612","2011","768","3057","1113","1360","1442","1298","3791","591",
"Human health and social work activities","Under middle shcool","Male","35 ~ 39","Employment","Persons","407","59","74","313","88","184","109","92","46","251","70",
"Human health and social work activities","Under middle shcool","Male","40 ~ 44","Hours worked","Hours","189","172.5","188.7","177.8","142.4","164.5","172.1","162.6","106.4","132.9","149.6",
"Human health and social work activities","Under middle shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2201","1764","2017","2631","2356","2081","1957","2190","1022","2538","2236",
"Human health and social work activities","Under middle shcool","Male","40 ~ 44","Employment","Persons","608","336","127","179","211","197","171","206","91","225","48",
"Human health and social work activities","Under middle shcool","Male","45 ~ 49","Hours worked","Hours","196.1","189","185.9","176.6","151.3","155.9","146.5","166.8","165.2","141.6","135.8",
"Human health and social work activities","Under middle shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","3224","2232","2593","2575","1973","1976","1825","2144","2582","3103","1729",
"Human health and social work activities","Under middle shcool","Male","45 ~ 49","Employment","Persons","570","443","411","243","538","291","285","189","301","370","209",
"Human health and social work activities","Under middle shcool","Male","50 ~ 54","Hours worked","Hours","191.7","197.9","182.2","154.2","172.2","168.2","183.2","168.3","145.8","143.4","143.8",
"Human health and social work activities","Under middle shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2935","2648","2375","1867","2246","2145","2295","1852","1627","2120","2130",
"Human health and social work activities","Under middle shcool","Male","50 ~ 54","Employment","Persons","1063","796","712","982","759","782","668","694","543","675","637",
"Human health and social work activities","Under middle shcool","Male","55 ~ 59","Hours worked","Hours","188.3","197.7","167.5","186.8","170.9","163.8","171.3","170.9","161.4","156","146.1",
"Human health and social work activities","Under middle shcool","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","2449","2262","1946","2177","2100","2425","2314","2113","1811","2525","2103",
"Human health and social work activities","Under middle shcool","Male","55 ~ 59","Employment","Persons","951","936","1285","1142","1564","1474","1045","1360","1100","909","793",
"Human health and social work activities","Under middle shcool","Male","60 years old and over","Hours worked","Hours","176.8","191.2","166.7","177.7","177.7","152.2","164.5","162.7","149.5","133.6","130.8",
"Human health and social work activities","Under middle shcool","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1141","1311","1330","1394","1418","1239","1334","1412","1429","1470","1658",
"Human health and social work activities","Under middle shcool","Male","60 years old and over","Employment","Persons","1357","1252","1726","1783","2115","2353","2270","2289","2982","3395","3246",
"Human health and social work activities","Under middle shcool","Female","19 years old and less","Hours worked","Hours","-","168","153","191.7","176.1","175.7","56","156.2","69","152","100",
"Human health and social work activities","Under middle shcool","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","1811","1091","1106","1637","1425","313","1014","480","2445","1093",
"Human health and social work activities","Under middle shcool","Female","19 years old and less","Employment","Persons","-","14","5","35","16","29","19","19","10","4","5",
"Human health and social work activities","Under middle shcool","Female","20 ~ 24","Hours worked","Hours","187.8","188.9","168.7","175.2","177.2","171.8","135.3","182.5","137.9","114.2","96.5",
"Human health and social work activities","Under middle shcool","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1677","1514","1291","2082","1757","1938","906","1550","1010","938","1113",
"Human health and social work activities","Under middle shcool","Female","20 ~ 24","Employment","Persons","7","26","47","89","101","11","57","93","116","58","22",
"Human health and social work activities","Under middle shcool","Female","25 ~ 29","Hours worked","Hours","188.3","187.2","148.5","170.7","140.7","165.6","168.2","184.7","96.5","116.9","116.1",
"Human health and social work activities","Under middle shcool","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","2104","2776","764","2337","2126","1266","1759","1353","500","902","1173",
"Human health and social work activities","Under middle shcool","Female","25 ~ 29","Employment","Persons","7","44","50","87","118","121","81","89","61","113","62",
"Human health and social work activities","Under middle shcool","Female","30 ~ 34","Hours worked","Hours","208.1","183.4","192.5","156.7","151.1","158.6","169.3","162.4","144.5","129.1","129.7",
"Human health and social work activities","Under middle shcool","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1234","2834","1795","1621","2304","1186","1650","1853","832","980","1167",
"Human health and social work activities","Under middle shcool","Female","30 ~ 34","Employment","Persons","13","68","44","150","286","554","107","100","115","217","197",
"Human health and social work activities","Under middle shcool","Female","35 ~ 39","Hours worked","Hours","193.4","178.1","181.1","123.9","164.7","162.1","200.7","156.3","140.8","126.6","138.2",
"Human health and social work activities","Under middle shcool","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1498","2085","1789","1288","3183","1159","1135","1216","1098","1043","1057",
"Human health and social work activities","Under middle shcool","Female","35 ~ 39","Employment","Persons","129","146","209","639","167","347","343","305","278","195","148",
"Human health and social work activities","Under middle shcool","Female","40 ~ 44","Hours worked","Hours","191.9","191.5","179.6","188.1","182.2","162.7","166","157.3","143.7","128.5","127.7",
"Human health and social work activities","Under middle shcool","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1431","1872","1469","1814","1891","1337","1298","1226","1226","1261","1346",
"Human health and social work activities","Under middle shcool","Female","40 ~ 44","Employment","Persons","849","768","661","904","927","737","430","821","374","333","270",
"Human health and social work activities","Under middle shcool","Female","45 ~ 49","Hours worked","Hours","194.5","192.3","171.9","176.4","188","169.5","177.2","168.4","157.8","150.3","159",
"Human health and social work activities","Under middle shcool","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1517","1620","1463","1558","1749","1564","1712","1546","1518","1680","1692",
"Human health and social work activities","Under middle shcool","Female","45 ~ 49","Employment","Persons","2981","2729","3056","3076","2308","2528","1658","1932","1510","960","918",
"Human health and social work activities","Under middle shcool","Female","50 ~ 54","Hours worked","Hours","183.8","192","174.1","151.5","177.1","181.2","170.8","174","152.9","147.5","157.1",
"Human health and social work activities","Under middle shcool","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1495","1599","1475","1451","1685","1740","1615","1642","1507","1661","1923",
"Human health and social work activities","Under middle shcool","Female","50 ~ 54","Employment","Persons","6173","6162","6602","8558","6952","7221","5832","5232","4856","3222","3104",
"Human health and social work activities","Under middle shcool","Female","55 ~ 59","Hours worked","Hours","193.3","195.2","182","167.5","165.3","175.3","169.9","171","159.6","154","158.6",
"Human health and social work activities","Under middle shcool","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1461","1459","1447","1485","1614","1663","1579","1632","1602","1840","2007",
"Human health and social work activities","Under middle shcool","Female","55 ~ 59","Employment","Persons","4010","5192","7805","9863","10272","10704","11776","12317","11687","10434","9239",
"Human health and social work activities","Under middle shcool","Female","60 years old and over","Hours worked","Hours","190.7","186.4","169.2","127.7","163.3","160.6","163","160.8","150.3","142.1","141.6",
"Human health and social work activities","Under middle shcool","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1191","1148","1213","1045","1230","1221","1250","1271","1295","1479","1642",
"Human health and social work activities","Under middle shcool","Female","60 years old and over","Employment","Persons","3843","5213","8629","13761","9499","12041","14660","15912","20170","19614","21484",
"Human health and social work activities","High shcool","Male","19 years old and less","Hours worked","Hours","205.4","184.5","168.6","184.8","197.4","167.4","181.2","169.2","190.2","145.3","140.9",
"Human health and social work activities","High shcool","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","1233","1322","1323","1206","1336","1490","1457","1342","1512","1385","1652",
"Human health and social work activities","High shcool","Male","19 years old and less","Employment","Persons","78","20","55","57","83","77","111","162","58","142","168",
"Human health and social work activities","High shcool","Male","20 ~ 24","Hours worked","Hours","184.3","206.6","199.5","190.4","202.9","149.7","170.5","167.1","176.1","160.1","158.3",
"Human health and social work activities","High shcool","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1190","1431","1482","1431","1486","1191","1417","1608","1423","1509","1711",
"Human health and social work activities","High shcool","Male","20 ~ 24","Employment","Persons","965","902","874","986","1341","1280","1461","1596","1502","1465","1533",
"Human health and social work activities","High shcool","Male","25 ~ 29","Hours worked","Hours","204.9","203.8","189.4","193.3","188.5","173.4","172.2","169.2","173.3","167.1","148",
"Human health and social work activities","High shcool","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1659","1715","1634","1741","1752","1622","1662","1674","1636","1763","1812",
"Human health and social work activities","High shcool","Male","25 ~ 29","Employment","Persons","2305","2041","2426","1560","1862","1704","1603","1605","2582","1981","3295",
"Human health and social work activities","High shcool","Male","30 ~ 34","Hours worked","Hours","196.5","204.2","194.7","187.8","184.1","179.5","174.5","181.3","182.6","164.3","148.3",
"Human health and social work activities","High shcool","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1845","1993","2047","2084","2245","2157","1988","2063","1932","1974","1935",
"Human health and social work activities","High shcool","Male","30 ~ 34","Employment","Persons","2264","2085","2008","1929","2727","2228","2323","1725","2308","2086","2342",
"Human health and social work activities","High shcool","Male","35 ~ 39","Hours worked","Hours","198.1","198.6","188.4","184.6","181.5","173.8","176.4","172.1","170.2","164.5","150.8",
"Human health and social work activities","High shcool","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2126","2296","2381","2350","2477","2194","2133","2206","2041","2100","2227",
"Human health and social work activities","High shcool","Male","35 ~ 39","Employment","Persons","3247","3292","3330","2925","2549","2489","2263","2528","3009","2322","3326",
"Human health and social work activities","High shcool","Male","40 ~ 44","Hours worked","Hours","192.9","193.6","181.7","182","174","169.9","176","178.6","176","157.9","151.5",
"Human health and social work activities","High shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2433","2330","2643","2721","2756","2634","2487","2532","2474","2573","2520",
"Human health and social work activities","High shcool","Male","40 ~ 44","Employment","Persons","3124","3388","4008","3401","3601","3513","3790","3231","3241","3107","3191",
"Human health and social work activities","High shcool","Male","45 ~ 49","Hours worked","Hours","195.4","189.8","184","183.5","172.4","174.6","176.5","175.3","177.2","158.5","159",
"Human health and social work activities","High shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2655","2420","2511","2646","2625","2559","2603","2655","2690","2624","2768",
"Human health and social work activities","High shcool","Male","45 ~ 49","Employment","Persons","3319","3463","3133","2724","3501","4136","3940","3830","4550","3848","4422",
"Human health and social work activities","High shcool","Male","50 ~ 54","Hours worked","Hours","193.1","192.1","184.7","176.7","172.6","172.2","169.3","174.5","173.6","154.6","154.6",
"Human health and social work activities","High shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2724","2895","2559","2502","2751","2560","2527","2539","2530","2706","2844",
"Human health and social work activities","High shcool","Male","50 ~ 54","Employment","Persons","3365","3916","4819","5000","4479","4789","5219","4685","4867","5221","6267",
